Key,FinancialCase,CostCase,CRPYears,Technology,TechDetail,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RA3OfOTRG99,RD,Advanced,30,OffShoreWind,OTRG9,5782.960869,5276.110793,4841.192885,4453.388007,4104.078449,3788.589402,3503.644773,3246.570953,3014.992435,2806.703373,2619.612147,2451.719078,2301.109801,2165.955862,2044.518216,1977.526933,1920.413185,1871.993618,1831.142586,1796.783665,1767.881476,1743.434012,1722.465726,1704.021592,1687.162325,1670.960926,1654.50064,1636.874443,1617.186112,1594.553023,1568.110824,1537.020284,1500.476777
RM3OfOTRG99,RD,Moderate,30,OffShoreWind,OTRG9,5782.960869,5366.875876,5009.820928,4691.35678,4404.309002,4144.860794,3910.45361,3699.108769,3509.152411,3339.086367,3187.52091,3053.136886,2934.663059,2830.861874,2740.520142,2662.442745,2595.448239,2538.365733,2490.032596,2449.292766,2414.995464,2385.994211,2361.146063,2339.311008,2319.35149,2300.132017,2280.518858,2259.379778,2235.583834,2208.001198,2175.503008,2136.961251,2091.248652
RC3OfOTRG99,RD,Conservative,30,OffShoreWind,OTRG9,5782.960869,5572.67681,5403.208897,5248.309943,5106.12509,4975.55135,4855.767498,4746.082157,4645.872207,4554.553873,4471.567659,4396.369878,4328.427569,4267.215313,4212.213152,4162.905169,4118.778512,4079.322691,4044.029067,4012.390471,3983.900917,3958.055382,3934.349634,3912.2801,3891.343754,3871.038033,3850.86077,3830.31013,3808.884571,3786.082797,3761.403732,3734.346486,3704.410337
RA3OfOTRG100,RD,Advanced,30,OffShoreWind,OTRG10,5910.372784,5391.865378,4946.357417,4548.908836,4190.837859,3867.416815,3575.319034,3311.820291,3074.49395,2861.082677,2669.443398,2497.525479,2343.364565,2205.083594,2080.896665,2012.23274,1953.707528,1904.10634,1862.273583,1827.104085,1797.534715,1772.536533,1751.107702,1732.267399,1715.050916,1698.506119,1681.691361,1663.674953,1643.536278,1620.368663,1593.284188,1561.420722,1523.951677
RM3OfOTRG100,RD,Moderate,30,OffShoreWind,OTRG10,5910.372784,5484.711349,5118.927638,4792.478565,4498.136,4232.042137,3991.602181,3774.803392,3579.939006,3405.478611,3250.00065,3112.154404,2990.637253,2884.180385,2791.53945,2711.48823,2642.814241,2584.315585,2534.79866,2493.076454,2457.967261,2428.29369,2402.881898,2380.560987,2360.16252,2340.520138,2320.469244,2298.846745,2274.490847,2246.24087,2212.937109,2173.420707,2126.533552
RC3OfOTRG100,RD,Conservative,30,OffShoreWind,OTRG10,5910.372784,5695.36521,5521.4801,5362.493581,5216.53194,5082.476178,4959.49012,4846.867931,4743.972294,4650.205381,4564.99374,4487.779783,4418.016691,4355.165216,4298.691589,4248.0661,4202.762115,4162.25537,4126.02346,4093.545454,4064.301611,4037.773154,4013.442102,3990.791133,3969.303478,3948.462829,3927.753277,3906.659248,3884.665458,3861.256874,3835.91868,3808.136251,3777.395129
RA3OfOTRG111,RD,Advanced,30,OffShoreWind,OTRG11,6327.885482,5775.886024,5305.352975,4886.860492,4510.308899,4170.315892,3863.181637,3585.936443,3335.974528,3110.897569,2908.445451,2726.466797,2562.908466,2415.81402,2283.326025,2211.069527,2149.389382,2097.018755,2052.753337,2015.442085,1983.978345,1957.291561,1934.339809,1914.103393,1895.5797,1877.77946,1859.724543,1840.44737,1818.992031,1794.417242,1765.801303,1732.249374,1692.903569
RM3OfOTRG111,RD,Moderate,30,OffShoreWind,OTRG11,6327.885482,5874.771825,5488.662337,5145.346684,4836.418588,4557.472148,4305.600576,4078.587955,3874.581538,3691.937901,3529.142821,3384.766158,3257.434862,3145.816011,3048.605718,2964.521617,2892.297645,2830.680301,2778.425934,2734.298713,2697.069106,2665.512703,2638.409303,2614.542203,2592.69762,2571.664237,2550.232828,2527.195956,2501.34772,2471.483546,2436.400015,2394.894715,2345.766117
RC3OfOTRG111,RD,Conservative,30,OffShoreWind,OTRG11,6327.885482,6098.268289,5916.470991,5750.569435,5598.416764,5458.761923,5330.689549,5213.438991,5106.330917,5008.732873,4920.041333,4839.671602,4767.051769,4701.618908,4642.816596,4590.093227,4542.900848,4500.694319,4462.930703,4429.068818,4398.568889,4370.892289,4345.501336,4321.859127,4299.429417,4277.67651,4256.065181,4234.060603,4211.128295,4186.734071,4160.344007,4131.4244,4099.44175
RA3OfOTRG122,RD,Advanced,30,OffShoreWind,OTRG12,6598.171739,6025.645286,5541.285658,5111.759815,4725.753837,4377.343528,4062.536595,3778.184908,3521.563868,3290.19068,3081.742111,2894.01781,2724.925567,2572.477161,2434.788963,2360.670006,2297.308123,2243.41512,2197.767271,2159.195699,2126.577204,2098.825729,2074.8847,2053.72046,2034.31699,2015.672078,1996.795035,1976.706069,1954.437377,1929.03611,1899.569357,1865.13149,1824.854335
RM3OfOTRG122,RD,Moderate,30,OffShoreWind,OTRG12,6598.171739,6128.250011,5731.01273,5379.059322,5062.974956,4777.897416,4520.670542,4288.924421,4080.702439,3894.286207,3728.104368,3580.681257,3450.60618,3336.514112,3237.073068,3150.975559,3076.932644,3013.669685,2959.923247,2914.4388,2875.968979,2843.272248,2815.111866,2790.255066,2767.472408,2745.537259,2723.225363,2699.314501,2672.584203,2641.81551,2605.790773,2563.293495,2513.108179
RC3OfOTRG122,RD,Conservative,30,OffShoreWind,OTRG12,6598.171739,6359.309795,6174.000236,6005.211582,5850.568301,5708.714323,5578.675616,5459.654212,5350.944692,5251.894982,5161.885933,5080.319825,5006.613488,4940.193975,4880.495741,4826.958724,4779.027018,4736.147918,4697.771228,4663.348746,4632.333876,4604.181324,4578.346873,4554.287194,4531.459704,4509.322447,4487.334003,4464.953404,4441.640075,4416.853781,4390.054577,4360.702779,4328.258927
RA3OfOTRG133,RD,Advanced,30,OffShoreWind,OTRG13,6774.529124,6189.170417,5696.942969,5261.476772,4870.521606,4517.742304,4198.931014,3910.813686,3650.586812,3415.715788,3203.842345,3012.742073,2840.306217,2684.535342,2543.538509,2468.429487,2404.145594,2349.390725,2302.934377,2263.601799,2230.264647,2201.832313,2177.244155,2155.462851,2135.469048,2116.257479,2096.834642,2076.218128,2053.437701,2027.538232,1997.58468,1962.669419,1921.922415
RM3OfOTRG133,RD,Moderate,30,OffShoreWind,OTRG13,6774.529124,6294.108802,5890.597706,5534.117014,5214.474341,4926.460403,4666.733296,4432.811705,4222.666698,4034.530094,3866.794645,3717.957845,3586.588303,3471.304613,3370.761535,3283.640642,3208.643807,3144.488559,3089.904691,3043.631741,3004.41709,2971.014501,2942.18298,2916.685889,2893.290231,2870.766075,2847.886101,2823.425212,2796.160227,2764.869619,2728.333296,2685.332425,2634.649271
RC3OfOTRG133,RD,Conservative,30,OffShoreWind,OTRG13,6774.529124,6529.73871,6342.919887,6173.019979,6017.489048,5874.893017,5744.21597,5624.634703,5515.427313,5415.930288,5325.516151,5243.580884,5169.53639,5102.805767,5042.82021,4989.01692,4940.837644,4897.727633,4859.134885,4824.50958,4793.303656,4764.970478,4738.964586,4714.741495,4691.757536,4669.469725,4647.335666,4624.813457,4601.361626,4576.439074,4549.505021,4520.018969,4487.440665
RA3OfOTRG144,RD,Advanced,30,OffShoreWind,OTRG14,6853.491513,6252.931578,5737.74354,5278.411927,4864.693649,4491.036513,4153.552795,3849.071971,3574.778495,3328.058869,3106.435562,2907.540366,2729.106404,2568.96873,2425.068413,2345.722871,2278.072957,2220.717515,2172.323754,2131.617189,2097.371953,2068.401711,2043.551473,2021.690557,2001.706931,1982.503117,1962.993778,1942.105098,1918.776063,1891.961758,1860.638907,1823.813977,1780.534403
