,type
1682,ng
1683,ng
1684,ng
1685,hydro
1686,hydro
1687,hydro
1688,hydro
1689,hydro
1690,hydro
1691,ng
1692,ng
1693,hydro
1694,hydro
1695,hydro
1696,hydro
1697,hydro
1698,hydro
1699,hydro
1700,hydro
1701,ng
1702,ng
1703,ng
1704,ng
1705,hydro
1706,hydro
1707,hydro
1708,ng
1709,hydro
1710,hydro
1711,hydro
1712,hydro
1713,hydro
1714,hydro
1715,hydro
1716,ng
1717,ng
1718,wind
1719,ng
1720,ng
1721,ng
1722,ng
1723,ng
1724,ng
1725,hydro
1726,hydro
1727,hydro
1728,hydro
1729,hydro
1730,hydro
1731,hydro
1732,hydro
1733,hydro
1734,hydro
1735,hydro
1736,hydro
1737,hydro
1738,hydro
1739,hydro
1740,wind
1741,wind
1742,wind
1743,wind
1744,hydro
1745,hydro
1746,hydro
1747,hydro
1748,hydro
1749,hydro
1750,hydro
1751,hydro
1752,hydro
1753,hydro
1754,hydro
1755,hydro
1756,hydro
1757,hydro
1758,hydro
1759,hydro
1760,hydro
1761,hydro
1762,hydro
1763,hydro
1764,hydro
1765,hydro
1766,hydro
1767,hydro
1768,hydro
1769,hydro
1770,hydro
1771,hydro
1772,hydro
1773,hydro
1774,hydro
1775,hydro
1776,hydro
1777,hydro
1778,hydro
1779,hydro
1780,hydro
1781,coal
1782,coal
1783,wind
1784,wind
1785,hydro
1786,ng
1787,ng
1788,hydro
1789,hydro
1790,hydro
1791,wind
1792,hydro
1793,hydro
1794,hydro
1795,hydro
1796,hydro
1797,hydro
1798,hydro
1799,hydro
1800,hydro
1801,hydro
1802,hydro
1803,hydro
1804,hydro
1805,hydro
1806,hydro
1807,dfo
1808,dfo
1809,wind
1810,hydro
1811,hydro
1812,hydro
1813,hydro
1814,hydro
1815,coal
1816,hydro
1817,hydro
1818,ng
1819,wind
1820,wind
1821,hydro
1822,hydro
1823,hydro
1824,ng
1825,solar
1826,solar
1827,solar
1828,solar
1829,ng
1830,ng
1831,hydro
1832,hydro
1833,hydro
1834,hydro
1835,hydro
1836,hydro
1837,hydro
1838,hydro
1839,hydro
1840,hydro
1841,hydro
1842,hydro
1843,hydro
1844,hydro
1845,hydro
1846,hydro
1847,hydro
1848,hydro
1849,hydro
1850,wind
1851,dfo
1852,dfo
1853,dfo
1854,dfo
1855,dfo
1856,dfo
1857,hydro
1858,hydro
1859,hydro
1860,hydro
1861,hydro
1862,hydro
1863,nuclear
1864,nuclear
1865,solar
1866,solar
1867,solar
1868,solar
1869,solar
1870,solar
1871,solar
1872,coal
1873,ng
1874,ng
1875,ng
1876,ng
1877,ng
1878,ng
1879,ng
1880,solar
1881,solar
1882,solar
1883,solar
1884,solar
1885,solar
1886,solar
1887,solar
1888,solar
1889,solar
1890,ng
1891,ng
1892,ng
1893,ng
1894,ng
1895,ng
1896,solar
1897,solar
1898,ng
1899,ng
1900,ng
1901,ng
1902,solar
1903,solar
1904,solar
1905,solar
1906,solar
1907,solar
1908,ng
1909,ng
1910,ng
1911,ng
1912,ng
1913,ng
1914,ng
1915,ng
1916,ng
1917,ng
1918,ng
1919,ng
1920,ng
1921,ng
1922,ng
1923,ng
1924,solar
1925,solar
1926,solar
1927,dfo
1928,dfo
1929,dfo
1930,dfo
1931,dfo
1932,dfo
1933,dfo
1934,solar
1935,solar
1936,ng
1937,solar
1938,solar
1939,solar
1940,solar
1941,solar
1942,solar
1943,solar
1944,solar
1945,nuclear
1946,solar
1947,solar
1948,solar
1949,solar
1950,solar
1951,solar
1952,solar
1953,solar
1954,solar
1955,solar
1956,solar
1957,solar
1958,solar
1959,solar
1960,nuclear
1961,ng
1962,ng
1963,ng
1964,ng
1965,ng
1966,ng
1967,ng
1968,solar
1969,solar
1970,solar
1971,dfo
1972,dfo
1973,dfo
1974,dfo
1975,solar
1976,solar
1977,solar
1978,solar
1979,solar
1980,solar
1981,solar
1982,solar
1983,solar
1984,ng
1985,ng
1986,ng
1987,ng
1988,ng
1989,ng
1990,solar
1991,solar
1992,solar
1993,ng
1994,ng
1995,ng
1996,ng
1997,ng
1998,solar
1999,solar
2000,solar
2001,dfo
2002,solar
2003,solar
2004,solar
2005,solar
2006,solar
2007,solar
2008,solar
2009,ng
2010,ng
2011,ng
2012,ng
2013,ng
2014,ng
2015,ng
2016,solar
2017,solar
2018,dfo
2019,ng
2020,ng
2021,ng
2022,ng
2023,ng
2024,solar
2025,solar
2026,solar
2027,solar
2028,solar
2029,dfo
2030,dfo
2031,dfo
2032,dfo
2033,dfo
2034,ng
2035,ng
2036,ng
2037,ng
2038,ng
2039,ng
2040,ng
2041,solar
2042,solar
2043,solar
2044,solar
2045,solar
2046,solar
2047,solar
2048,solar
2049,ng
2050,ng
2051,ng
2052,ng
2053,ng
2054,ng
2055,ng
2056,solar
2057,solar
2058,solar
2059,solar
2060,solar
2061,solar
2062,ng
2063,ng
2064,solar
2065,solar
2066,solar
2067,ng
2068,ng
2069,ng
2070,ng
2071,dfo
2072,ng
2073,ng
2074,ng
2075,ng
2076,ng
2077,ng
2078,ng
2079,solar
2080,solar
2081,solar
2082,coal
2083,coal
2084,ng
2085,ng
2086,solar
2087,hydro
2088,hydro
2089,hydro
2090,hydro
2091,hydro
2092,hydro
2093,hydro
2094,ng
2095,ng
2096,ng
2097,ng
2098,ng
2099,ng
2100,solar
2101,solar
2102,coal
2103,coal
2104,hydro
2105,hydro
2106,hydro
2107,solar
2108,dfo
2109,dfo
2110,dfo
2111,ng
2112,ng
2113,ng
2114,solar
2115,ng
2116,ng
2117,ng
2118,ng
2119,ng
2120,solar
2121,solar
2122,dfo
2123,ng
2124,ng
2125,ng
2126,ng
2127,ng
2128,dfo
2129,dfo
2130,dfo
2131,dfo
2132,dfo
2133,dfo
2134,solar
2135,solar
2136,solar
2137,ng
2138,ng
2139,ng
2140,ng
2141,ng
2142,solar
2143,solar
2144,solar
2145,solar
2146,coal
2147,solar
2148,solar
2149,solar
2150,ng
2151,ng
2152,ng
2153,ng
2154,ng
2155,ng
2156,ng
2157,ng
2158,ng
